,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.1333,167.6833,287.82,82,78,0.37,broken clouds
1,Nichinan,JP,31.6,131.3667,282.15,93,90,1.54,light rain
2,Leeton,AU,-34.5667,146.4,292.15,94,40,3.6,scattered clouds
3,Luderitz,NA,-26.6481,15.1594,296.29,50,0,10.57,clear sky
4,Cape Town,ZA,-33.9258,18.4232,294.26,83,0,8.23,clear sky
5,Flin Flon,CA,54.7682,-101.865,245.15,63,20,6.69,snow
6,New Norfolk,AU,-42.7826,147.0587,291.48,93,100,1.56,overcast clouds
7,Broome,US,42.2506,-75.833,277.59,60,90,6.69,overcast clouds
8,Sala,MA,34.0389,-6.8166,286.48,82,40,5.66,scattered clouds
9,Barmer,IN,25.75,71.3833,286.43,37,0,2.37,clear sky
10,Grindavik,IS,63.8424,-22.4338,276.15,81,75,8.23,broken clouds
11,Busselton,AU,-33.65,115.3333,288.15,76,84,0.45,broken clouds
12,Ola,RU,59.5833,151.2833,251.88,85,93,5.72,overcast clouds
13,Esperance,AU,-33.8667,121.9,287.15,100,90,1.54,overcast clouds
14,Georgetown,MY,5.4112,100.3354,301.15,74,20,2.06,few clouds
15,Saskylakh,RU,71.9167,114.0833,240.63,85,94,3.36,overcast clouds
16,Port Elizabeth,ZA,-33.918,25.5701,295.15,88,90,5.14,overcast clouds
17,Veraval,IN,20.9,70.3667,293.33,37,0,7.09,clear sky
18,Jasper,US,37.2001,-94.3502,283.15,34,40,5.66,scattered clouds
19,Castro,BR,-24.7911,-50.0119,297.07,58,0,2.51,clear sky
20,Hithadhoo,MV,-0.6,73.0833,301.18,77,100,5.58,overcast clouds
21,Avarua,CK,-21.2078,-159.775,302.15,70,13,2.06,few clouds
22,Salalah,OM,17.0151,54.0924,296.15,68,40,3.6,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,283.15,62,75,12.35,broken clouds
24,Port Augusta,AU,-32.5,137.7667,291.15,77,90,3.09,overcast clouds
25,Port Alfred,ZA,-33.5906,26.891,294.26,95,99,0.45,overcast clouds
26,Guerrero Negro,MX,27.9769,-114.0611,293.44,40,0,5.42,clear sky
27,Hermanus,ZA,-34.4187,19.2345,294.26,82,8,1.34,clear sky
28,Cherskiy,RU,68.75,161.3,246.37,77,0,1.16,clear sky
29,Rikitea,PF,-23.1203,-134.9692,299.02,70,20,5.38,few clouds
30,San Quintin,MX,30.4833,-115.95,289.66,61,0,4.25,clear sky
31,Coihaique,CL,-45.5752,-72.0662,303.15,30,0,3.6,clear sky
32,Torata,PE,-17.0769,-70.8433,292.73,52,63,4.48,light rain
33,Longyearbyen,SJ,78.2186,15.6401,267.15,86,90,8.23,light snow
34,Carutapera,BR,-1.195,-46.02,301.61,66,100,4.49,overcast clouds
35,Rawson,AR,-43.3002,-65.1023,294.13,67,0,14.3,clear sky
36,Varadero,CU,23.1536,-81.2514,300.15,57,75,2.57,broken clouds
37,El Alto,PE,-4.2714,-81.2147,301.15,57,40,5.14,scattered clouds
38,Caraballeda,VE,10.6112,-66.8522,305.15,70,40,6.18,scattered clouds
39,Cayenne,GF,4.9333,-52.3333,300.15,83,75,4.12,broken clouds
40,Hobart,AU,-42.8794,147.3294,291.48,94,75,3.09,moderate rain
41,Mahebourg,MU,-20.4081,57.7,300.15,78,40,3.6,moderate rain
42,Albany,US,42.6001,-73.9662,278.71,58,85,0.45,overcast clouds
43,Dwarka,IN,22.2394,68.9678,293.93,50,0,7.18,clear sky
